Date : 2023-07-11 17:00:05
Directory : e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer
Total : 826 files,  216851 codes, 24557 comments, 23135 blanks, all 264543 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| C#         |        674 |     84,319 |     22,375 |     19,764 |    126,458 |
| e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\Assets\TextMesh Pro\Examples & Extras\Scripts\TextMeshSpawner.cs                                                     | C#         |         46 |         13 |         21 |         80 |
| e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\Assets\TextMesh Pro\Examples & Extras\Scripts\VertexColorCycler.cs                                                   | C#         |         48 |         13 |         24 |         85 |
| e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\Assets\TextMesh Pro\Examples & Extras\Scripts\VertexJitter.cs                                                        | C#         |        105 |         26 |         44 |        175 |
| e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\Assets\TextMesh Pro\Examples & Extras\Scripts\VertexShakeA.cs                                                        | C#         |         99 |         23 |         39 |        161 |
| e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\Assets\TextMesh Pro\Examples & Extras\Scripts\VertexShakeB.cs                                                        | C#         |        112 |         29 |         44 |        185 |
| e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\Assets\TextMesh Pro\Examples & Extras\Scripts\VertexZoom.cs                                                          | C#         |        112 |         32 |         48 |        192 |
| e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\Assets\TextMesh Pro\Examples & Extras\Scripts\WarpTextExample.cs                                                     | C#         |         87 |         15 |         43 |        145 |
| e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\Assets\TextMesh Pro\Shaders\TMP_Bitmap-Custom-Atlas.shader                                                           | ShaderLab  |        109 |          2 |         33 |        144 |
| e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\Assets\TextMesh Pro\Shaders\TMP_Bitmap-Mobile.shader                                                                 | ShaderLab  |        112 |          3 |         31 |        146 |
| e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\Assets\TextMesh Pro\Shaders\TMP_Bitmap.shader                                                                        | ShaderLab  |        109 |          2 |         33 |        144 |
| e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\Assets\TextMesh Pro\Shaders\TMP_SDF Overlay.shader                                                                   | ShaderLab  |        243 |          4 |         71 |        318 |
| e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\Assets\TextMesh Pro\Shaders\TMP_SDF SSD.shader                                                                       | ShaderLab  |        241 |          4 |         66 |        311 |
| e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\Assets\TextMesh Pro\Shaders\TMP_SDF-Mobile Masking.shader                                                            | ShaderLab  |        188 |         10 |         50 |        248 |
| e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\Assets\TextMesh Pro\Shaders\TMP_SDF-Mobile Overlay.shader                                                            | ShaderLab  |        183 |          8 |         50 |        241 |
| e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\Assets\TextMesh Pro\Shaders\TMP_SDF-Mobile SSD.shader                                                                | ShaderLab  |         82 |          4 |         21 |        107 |
| e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\Assets\TextMesh Pro\Shaders\TMP_SDF-Mobile.shader                                                                    | ShaderLab  |        183 |          8 |         50 |        241 |
| e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\Assets\TextMesh Pro\Shaders\TMP_SDF-Surface-Mobile.shader                                                            | ShaderLab  |        103 |          8 |         28 |        139 |
| e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\Assets\TextMesh Pro\Shaders\TMP_SDF-Surface.shader                                                                   | ShaderLab  |        122 |          4 |         33 |        159 |
| e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\Assets\TextMesh Pro\Shaders\TMP_SDF.shader                                                                           | ShaderLab  |        243 |          4 |         71 |        318 |
| e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\Assets\TextMesh Pro\Shaders\TMP_Sprite.shader                                                                        | ShaderLab  |         97 |          0 |         20 |        117 |
| e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\Assets\TextMesh Pro\Shaders\TMPro.cginc                                                                              | HLSL       |         63 |          2 |         20 |         85 |
| e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\Assets\TextMesh Pro\Shaders\TMPro_Mobile.cginc                                                                       | HLSL       |        122 |          2 |         34 |        158 |
| e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\Assets\TextMesh Pro\Shaders\TMPro_Properties.cginc                                                                   | HLSL       |         62 |         10 |         14 |         86 |
| e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\Assets\TextMesh Pro\Shaders\TMPro_Surface.cginc                                                                      | HLSL       |         76 |          7 |         19 |        102 |
| e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\Assets\TextMesh Pro\Sprites\EmojiOne.json                                                                            | JSON       |        155 |          0 |          2 |        157 |
| e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\Assets\UX Theming Example\Scripts\BatteryInformationProfile.cs                                                       | C#         |         26 |         16 |          6 |         48 |
| e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\Assets\UX Theming Example\Scripts\BatteryLevelDataSource.cs                                                          | C#         |        120 |         53 |         26 |        199 |
| e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\Assets\UX Theming Example\Themes\MusicInformationProfile.cs                                                          | C#         |         25 |         13 |          5 |         43 |
| e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\Assets\UX Theming Example\Themes\README.md                                                                           | Markdown   |          6 |          0 |          5 |         11 |
| e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\MRTK3\Pipelines\Config\settings.yaml                                                                                 | YAML       |          4 |          5 |          1 |         10 |
| e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\MRTK3\Pipelines\Scripts\common.psm1                                                                                  | PowerShell |         70 |         52 |          8 |        130 |
| e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\MRTK3\Pipelines\Scripts\edit-version.ps1                                                                             | PowerShell |         85 |          6 |         11 |        102 |
| e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\MRTK3\Pipelines\Scripts\gitchanges.ps1                                                                               | PowerShell |         28 |         46 |         11 |         85 |
| e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\MRTK3\Pipelines\Scripts\pack-upm.ps1                                                                                 | PowerShell |         90 |         25 |         34 |        149 |
| e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\MRTK3\Pipelines\Scripts\publish-upm.ps1                                                                              | PowerShell |         31 |         15 |          8 |         54 |
| e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\MRTK3\Pipelines\Scripts\repackage-for-release.ps1                                                                    | PowerShell |         64 |         20 |         24 |        108 |
| e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\MRTK3\Pipelines\Scripts\validatecode.ps1                                                                             | PowerShell |        367 |        159 |         47 |        573 |
| e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\MRTK3\Pipelines\Templates\Tasks\build-appx.yaml                                                                      | YAML       |         34 |          3 |         11 |         48 |
| e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\MRTK3\Pipelines\Templates\Tasks\build-unity.yaml                                                                     | YAML       |         55 |          3 |         16 |         74 |
| e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\MRTK3\Pipelines\Templates\Tasks\publish-upm.yaml                                                                     | YAML       |         38 |          3 |         10 |         51 |
| e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\MRTK3\Pipelines\Templates\docs.yaml                                                                                  | YAML       |         35 |          3 |          5 |         43 |
| e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\MRTK3\Pipelines\Templates\tests.yaml                                                                                 | YAML       |        134 |          3 |         32 |        169 |
| e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\MRTK3\Pipelines\Templates\unity.yaml                                                                                 | YAML       |         80 |          7 |         21 |        108 |
| e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\MRTK3\Pipelines\Templates\upm.yaml                                                                                   | YAML       |         33 |          3 |          6 |         42 |
| e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\MRTK3\Pipelines\UPM\Documentation~\README.md                                                                         | Markdown   |          3 |          0 |          2 |          5 |
| e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\MRTK3\Pipelines\ci.yaml                                                                                              | YAML       |         56 |          3 |         18 |         77 |
| e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\MRTK3\Pipelines\pr.yaml                                                                                              | YAML       |         41 |          3 |         14 |         58 |
| e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\MRTK3\Pipelines\rc.yaml                                                                                              | YAML       |         56 |          3 |         18 |         77 |
| e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\MRTK3\Tooling\Test\generate_repeat_tests.py                                                                          | Python     |         20 |          6 |         12 |         38 |
| e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\MRTK3\Tooling\Test\run_playmode_tests.ps1                                                                            | PowerShell |         71 |         11 |         10 |         92 |
| e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\MRTK3\Tooling\Test\run_repeat_tests.ps1                                                                              | PowerShell |         26 |         10 |          3 |         39 |
| e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\MRTK3\Tooling\create-assemblyinfo.ps1                                                                                | PowerShell |         42 |          7 |         16 |         65 |
| e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\MRTK3\Tooling\find-guids.ps1                                                                                         | PowerShell |         27 |          0 |          9 |         36 |
| e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\MRTK3\com.microsoft.mrtk.accessibility\AssemblyInfo.cs                                                               | C#         |          6 |          5 |          5 |         16 |
| e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\MRTK3\com.microsoft.mrtk.accessibility\Documentation~\Accessibility.md                                               | Markdown   |         18 |          0 |         12 |         30 |
| e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\MRTK3\com.microsoft.mrtk.accessibility\Editor\AssemblyInfo.cs                                                        | C#         |          4 |          5 |          4 |         13 |
| e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\MRTK3\com.microsoft.mrtk.accessibility\Subsystems\AccessibilitySubsystem.cs                                          | C#         |         69 |         73 |         30 |        172 |
| e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\MRTK3\com.microsoft.mrtk.accessibility\Subsystems\AccessibilitySubsystemConfig.cs                                    | C#         |         22 |         12 |          5 |         39 |
| e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\MRTK3\com.microsoft.mrtk.accessibility\Subsystems\AccessibilitySubsystemDescriptor.cs                                | C#         |         74 |         57 |         26 |        157 |
| e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\MRTK3\com.microsoft.mrtk.accessibility\Subsystems\IAccessibilitySubsystem.cs                                         | C#         |         19 |         50 |         12 |         81 |
| e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\MRTK3\com.microsoft.mrtk.accessibility\Subsystems\MRTK\MRTKAccessibilitySubsystem.cs                                 | C#         |        156 |         35 |         36 |        227 |
| e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\MRTK3\com.microsoft.mrtk.accessibility\Tests\Runtime\AssemblyInfo.cs                                                 | C#         |          4 |          5 |          4 |         13 |
| e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\MRTK3\com.microsoft.mrtk.accessibility\Tests\Runtime\DescribableObjectTests.cs                                       | C#         |        170 |         33 |         35 |        238 |
| e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\MRTK3\com.microsoft.mrtk.accessibility\Utilities\AccessibilityHelpers.cs                                             | C#         |         18 |          8 |          3 |         29 |
| e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\MRTK3\com.microsoft.mrtk.accessibility\Utilities\AccessibleObject.cs                                                 | C#         |         68 |         53 |         24 |        145 |
| e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\MRTK3\com.microsoft.mrtk.accessibility\Utilities\AccessibleObjectClassification.cs                                   | C#         |         14 |          8 |          4 |         26 |
| e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\MRTK3\com.microsoft.mrtk.accessibility\Utilities\AccessibleObjectVisibility.cs                                       | C#         |          8 |         12 |          3 |         23 |
| e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\MRTK3\com.microsoft.mrtk.accessibility\Utilities\ObjectRole.cs                                                       | C#         |         42 |         17 |         11 |         70 |
| e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\MRTK3\com.microsoft.mrtk.accessibility\Utilities\ScreenReaderObjectSettings.cs                                       | C#         |         23 |         11 |          7 |         41 |
| e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\MRTK3\com.microsoft.mrtk.accessibility\Utilities\ScreenReaderSpatializationOption.cs                                 | C#         |          9 |         16 |          5 |         30 |
| e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\MRTK3\com.microsoft.mrtk.accessibility\Utilities\TextAccessibility.cs                                                | C#         |         64 |         31 |         15 |        110 |
| e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\MRTK3\com.microsoft.mrtk.accessibility\package.json                                                                  | JSON       |         25 |          0 |          0 |         25 |
| e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\MRTK3\com.microsoft.mrtk.audio\AssemblyInfo.cs                                                                       | C#         |          4 |          5 |          4 |         13 |
| e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\MRTK3\com.microsoft.mrtk.audio\Documentation~\Audio.md                                                               | Markdown   |          9 |          0 |          7 |         16 |
| e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\MRTK3\com.microsoft.mrtk.audio\Effects\AudioBandPassEffect.cs                                                        | C#         |         49 |         26 |         14 |         89 |
| e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\MRTK3\com.microsoft.mrtk.audio\Effects\AudioBandPassFilter.cs                                                        | C#         |         26 |         12 |          6 |         44 |
| e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\MRTK3\com.microsoft.mrtk.audio\Effects\AudioInfluencerController.cs                                                  | C#         |        133 |         97 |         40 |        270 |
| e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\MRTK3\com.microsoft.mrtk.audio\Effects\AudioOccluder.cs                                                              | C#         |         58 |         45 |         15 |        118 |
| e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\MRTK3\com.microsoft.mrtk.audio\Effects\IAudioInfluencer.cs                                                           | C#         |          9 |         17 |          4 |         30 |
| e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\MRTK3\com.microsoft.mrtk.audio\package.json                                                                          | JSON       |         23 |          0 |          0 |         23 |
| e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\MRTK3\com.microsoft.mrtk.core\AssemblyInfo.cs                                                                        | C#         |          6 |          5 |          5 |         16 |
| e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\MRTK3\com.microsoft.mrtk.core\Camera\CameraSettings.cs                                                               | C#         |        100 |         32 |         24 |        156 |
| e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\MRTK3\com.microsoft.mrtk.core\Camera\CameraSettingsManager.cs                                                        | C#         |         88 |         29 |         17 |        134 |
| e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\MRTK3\com.microsoft.mrtk.core\Configuration\BaseMRTKProfile.cs                                                       | C#         |         13 |         18 |          4 |         35 |
| e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\MRTK3\com.microsoft.mrtk.core\Configuration\BaseSubsystemConfig.cs                                                   | C#         |          7 |          5 |          3 |         15 |
| e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\MRTK3\com.microsoft.mrtk.core\Configuration\MRTKProfile.cs                                                           | C#         |         48 |         25 |         10 |         83 |
| e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\MRTK3\com.microsoft.mrtk.core\Data\Binding Templates\Profiles\ClassDataBindingProfile.cs                             | C#         |         17 |         11 |          5 |         33 |
| e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\MRTK3\com.microsoft.mrtk.core\Data\Binding Templates\Profiles\DataBindingProfile.cs                                  | C#         |         55 |         50 |         21 |        126 |
| e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\MRTK3\com.microsoft.mrtk.core\Data\Binding Templates\UXBindingProfileTemplate.cs                                     | C#         |         16 |          8 |          5 |         29 |
| e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\MRTK3\com.microsoft.mrtk.core\Data\Interfaces\IClassDataBindingProfile.cs                                            | C#         |          8 |         17 |          2 |         27 |
| e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\MRTK3\com.microsoft.mrtk.core\Data\Interfaces\IDataBindable.cs                                                       | C#         |          7 |         15 |          2 |         24 |
| e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\MRTK3\com.microsoft.mrtk.core\Data\Interfaces\IDataBindingConfigurator.cs                                            | C#         |          8 |         12 |          3 |         23 |
| e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\MRTK3\com.microsoft.mrtk.core\Editor\AboutMRTK.cs                                                                    | C#         |        111 |          6 |         19 |        136 |
| e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\MRTK3\com.microsoft.mrtk.core\Editor\AssemblyInfo.cs                                                                 | C#         |          6 |          5 |          5 |         16 |
| e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\MRTK3\com.microsoft.mrtk.core\Editor\EditorProjectUtilities.cs                                                       | C#         |         33 |         19 |          6 |         58 |
| e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\MRTK3\com.microsoft.mrtk.core\Editor\Editors\BaseInteractableEditor.cs                                               | C#         |        118 |         11 |         30 |        159 |
| e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\MRTK3\com.microsoft.mrtk.core\Editor\Editors\MRTKProfileEditor.cs                                                    | C#         |        314 |        132 |         75 |        521 |
| e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\MRTK3\com.microsoft.mrtk.core\Editor\Editors\MRTKSettingsEditor.cs                                                   | C#         |         67 |         20 |         22 |        109 |
| e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\MRTK3\com.microsoft.mrtk.core\Editor\Editors\StatefulInteractableEditor.cs                                           | C#         |        150 |         11 |         38 |        199 |
| e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\MRTK3\com.microsoft.mrtk.core\Editor\MRTKBuildPreferences.cs                                                         | C#         |        181 |         17 |         35 |        233 |
| e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\MRTK3\com.microsoft.mrtk.core\Editor\MRTKBuildProcessor.cs                                                           | C#         |         58 |         21 |         12 |         91 |
| e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\MRTK3\com.microsoft.mrtk.core\Editor\MRTKPreserveSettings.cs                                                         | C#         |         59 |         10 |         15 |         84 |
| e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\MRTK3\com.microsoft.mrtk.core\Editor\MRTKProjectValidation.cs                                                        | C#         |        150 |         19 |         17 |        186 |
| e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\MRTK3\com.microsoft.mrtk.core\Editor\MRTKSettings.cs                                                                 | C#         |         69 |         25 |         14 |        108 |
| e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\MRTK3\com.microsoft.mrtk.core\Editor\MRTKSettingsProvider.cs                                                         | C#         |         27 |          5 |          8 |         40 |
| e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\MRTK3\com.microsoft.mrtk.core\Editor\PropertyDrawers\DrawIfPropertyDrawer.cs                                         | C#         |         46 |         11 |          9 |         66 |
| e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\MRTK3\com.microsoft.mrtk.core\Editor\PropertyDrawers\InterfaceSelectorDrawer.cs                                      | C#         |         84 |         13 |         16 |        113 |
| e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\MRTK3\com.microsoft.mrtk.core\Editor\PropertyDrawers\LabelWidthAttributeDrawer.cs                                    | C#         |         17 |          2 |          4 |         23 |
| e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\MRTK3\com.microsoft.mrtk.core\Editor\PropertyDrawers\SelectRepairedTypeWindow.cs                                     | C#         |         45 |          2 |         10 |         57 |
| e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\MRTK3\com.microsoft.mrtk.core\Editor\PropertyDrawers\TimedFlagPropertyDrawer.cs                                      | C#         |         24 |          7 |          4 |         35 |
| e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\MRTK3\com.microsoft.mrtk.core\Editor\PropertyDrawers\TypeReferencePropertyDrawer.cs                                  | C#         |        267 |         43 |         55 |        365 |
| e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\MRTK3\com.microsoft.mrtk.core\Editor\PropertyDrawers\VariableRangeAttributeDrawer.cs                                 | C#         |         52 |          2 |         12 |         66 |
| e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\MRTK3\com.microsoft.mrtk.core\Editor\Utilities\GUIEnabledWrapper.cs                                                  | C#         |         23 |         12 |          5 |         40 |
| e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\MRTK3\com.microsoft.mrtk.core\Editor\Utilities\InspectorUIUtility.cs                                                 | C#         |        602 |        236 |        160 |        998 |
| e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\MRTK3\com.microsoft.mrtk.core\Editor\Utilities\MRTKEditorStyles.cs                                                   | C#         |         69 |         31 |         12 |        112 |
| e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\MRTK3\com.microsoft.mrtk.core\Editor\Utilities\PropertyDrawerUtilities.cs                                            | C#         |         27 |         22 |          5 |         54 |
| e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\MRTK3\com.microsoft.mrtk.core\Editor\Utilities\ReserializeAssetsUtility.cs                                           | C#         |         47 |         10 |          9 |         66 |
| e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\MRTK3\com.microsoft.mrtk.core\Interactables\ISnapInteractable.cs                                                     | C#         |          8 |         14 |          2 |         24 |
| e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\MRTK3\com.microsoft.mrtk.core\Interactables\MRTKBaseInteractable.cs                                                  | C#         |        219 |         76 |         83 |        378 |
| e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\MRTK3\com.microsoft.mrtk.core\Interactables\StatefulInteractable.cs                                                  | C#         |        212 |        108 |         54 |        374 |
