Date : 2023-07-11 17:00:05
Directory : e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer
Total : 826 files,  216851 codes, 24557 comments, 23135 blanks, all 264543 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| C#         |        674 |     84,319 |     22,375 |     19,764 |    126,458 |
| e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\MRTK3\com.microsoft.mrtk.uxcomponents\Tests\Runtime\SeeItSayItCanvasTests.cs                                         | C#         |         83 |         16 |         20 |        119 |
| e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\MRTK3\com.microsoft.mrtk.uxcomponents\package.json                                                                   | JSON       |         28 |          0 |          0 |         28 |
| e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\MRTK3\com.microsoft.mrtk.uxcore\AssemblyInfo.cs                                                                      | C#         |          9 |          5 |          5 |         19 |
| e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\MRTK3\com.microsoft.mrtk.uxcore\Button\BasicPressableButtonVisuals.cs                                                | C#         |         29 |          9 |          8 |         46 |
| e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\MRTK3\com.microsoft.mrtk.uxcore\Button\InteractableAnimatorVisuals.cs                                                | C#         |         48 |         13 |          8 |         69 |
| e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\MRTK3\com.microsoft.mrtk.uxcore\Button\PressableButton.cs                                                            | C#         |        334 |        173 |        100 |        607 |
| e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\MRTK3\com.microsoft.mrtk.uxcore\Button\RectTransformColliderFitter.cs                                                | C#         |        146 |         30 |         41 |        217 |
| e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\MRTK3\com.microsoft.mrtk.uxcore\DataBinding\UXBindingConfigurator.cs                                                 | C#         |         46 |         14 |          6 |         66 |
| e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\MRTK3\com.microsoft.mrtk.uxcore\Dialog\Dialog.cs                                                                     | C#         |        204 |         30 |         50 |        284 |
| e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\MRTK3\com.microsoft.mrtk.uxcore\Dialog\DialogEvents.cs                                                               | C#         |         20 |         31 |          6 |         57 |
| e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\MRTK3\com.microsoft.mrtk.uxcore\Dialog\DialogPool.cs                                                                 | C#         |         94 |         48 |         22 |        164 |
| e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\MRTK3\com.microsoft.mrtk.uxcore\Dialog\IDialog.cs                                                                    | C#         |         35 |        106 |         14 |        155 |
| e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\MRTK3\com.microsoft.mrtk.uxcore\Editor\AssemblyInfo.cs                                                               | C#         |          4 |          5 |          4 |         13 |
